algo,variant,store,brand,MAE,RMSE,MAPE,sMAPE,MASE,n,n_nonzero,volume
lstm,baseline,Toko_C,OPPO,2.1427475375098153,2.4292817405385043,72.05853890681612,105.36262868391009,1.149009549099466,37,23,63.0
lstm,baseline,Toko_C,Realme,1.5074723862312935,1.9845608584491872,64.11505380062141,68.10054808858354,0.6972059786319732,37,33,91.0
lstm,baseline,Toko_C,Samsung,1.3072616119642515,1.532341548232288,62.809153397878006,83.97834377808779,0.7441335329642662,37,29,67.0
lstm,baseline,Toko_C,Vivo,1.279883913091711,1.5449604481291024,47.180423192810586,122.40054680697902,0.7892617464065551,37,19,41.0
lstm,baseline,Toko_C,Xiaomi,1.3173753546701896,1.7111855604488742,46.54901785412054,96.06791318018843,0.8862343295054004,37,29,68.0
lstm,baseline,Toko_D,OPPO,1.2511130023647,1.4164643120682117,58.21524648754684,92.93981316390023,0.8902150209133441,37,27,54.0
lstm,baseline,Toko_D,Realme,1.3897276472400975,1.7112763421822834,57.60663175582885,80.08829600257779,0.7674615365355762,37,30,76.0
lstm,baseline,Toko_D,Samsung,1.436799551989581,1.6486478593283285,64.7277179857095,117.05545428629796,1.2657519862765358,37,20,33.0
lstm,baseline,Toko_D,Vivo,1.3689890133368003,1.7968638960427503,43.39579059470514,109.83276777928171,0.713416809767065,37,23,58.0
lstm,baseline,Toko_D,Xiaomi,1.2888675025991492,1.6110824197779192,48.561502685622564,94.39859543671487,0.6911318492198336,37,27,64.0
lstm,gt,Toko_A,OPPO,1.9963127857929952,2.3194611178776077,124.82842668138368,78.34898922246236,0.959267182783647,37,33,92.0
lstm,gt,Toko_A,Realme,1.6511035674327128,1.9653770441974756,69.0324858824412,57.49408610363578,0.7636353999376296,37,34,113.0
lstm,gt,Toko_A,Samsung,1.6380797270182017,1.88226472204157,74.66924718056602,83.32409132573707,0.8081193319956461,37,29,78.0
lstm,gt,Toko_A,Vivo,1.3605277473862107,1.765461611943357,48.577065442605,84.27087368339019,0.7744542562044584,37,27,68.0
lstm,gt,Toko_A,Xiaomi,2.047657058045671,2.506673363606689,66.52937487747104,65.90428806496551,0.7730950117111207,37,33,129.0
lstm,gt,Toko_B,OPPO,1.6507428272350415,2.033657231211128,92.35625222475842,68.79685771064075,0.885180936343428,37,33,87.0
lstm,gt,Toko_B,Realme,1.7849985135568154,2.2369519122530557,65.92139945487783,61.411582304089386,0.7420780337258671,37,33,121.0
lstm,gt,Toko_B,Samsung,1.858789012238786,2.125076809944914,105.37448056042193,77.09518759622608,1.228128454514912,37,32,75.0
lstm,gt,Toko_B,Vivo,1.2549035388070184,1.5098933744456462,47.316548707841456,81.37976694218085,0.8760647346388619,37,29,64.0
lstm,gt,Toko_B,Xiaomi,1.5087544048154675,1.9551434881132743,47.53295276754646,71.97034330926056,0.64911526718805,37,31,94.0
lstm,gt,Toko_C,OPPO,1.9796468180579108,2.247919791195969,66.13009729247162,104.45616202776937,1.0615497430165608,37,23,63.0
lstm,gt,Toko_C,Realme,1.5537943517839587,2.0076963205819682,72.35846532715692,67.86627854255417,0.7186298877000808,37,33,91.0
